gene_raw	rna_log2fc	rna_fdr	gene_name
HTR6	6.578432748300019	1.871885386814764e-114	HTR6
AC006441.4	-4.469455798984318	1.9106011629465893e-114	AC006441.4
FABP7	7.433961844800412	5.127567561255054e-114	FABP7
CASP4LP	2.7356902905573555	5.169155640375602e-114	CASP4LP
FATE1	3.5253857577904864	5.40383287291128e-114	FATE1
RBP2	-4.009652502042195	8.132377815319769e-114	RBP2
AC105384.1	-4.798976897393414	1.1586146687076489e-113	AC105384.1
CLUL1	-3.422522644073367	1.3929385791214037e-113	CLUL1
IL2RB	3.001431610239776	5.13216152110332e-113	IL2RB
PGF	4.670397904250357	5.843185883154508e-113	PGF
WNT8B	-3.935438745245956	2.57233353895873e-112	WNT8B
OR2A4	6.839994970324445	7.968812648200155e-112	OR2A4
ADM	2.7065082835217678	2.7682590938985818e-111	ADM
SLC20A2	-1.3973180816351558	3.1704576433582172e-111	SLC20A2
MTOR	-1.1799302224533177	3.634126617074592e-111	MTOR
FUT11	1.5599068608882825	3.735936543164069e-111	FUT11
EGF	-5.451611330312737	2.0766267242733323e-110	EGF
AL096799.1	5.182894780506376	2.1523368418933082e-110	AL096799.1
GADL1	-5.513693596817656	6.285419934105581e-110	GADL1
CAV2	1.991111475903092	8.598613859804448e-110	CAV2
MYO1F	2.4992599332621723	9.112522137622513e-110	MYO1F
COBLL1	-2.4085238653255905	9.725408121649908e-110	COBLL1
ALDH6A1	-3.0437851186375817	1.0635015749976737e-109	ALDH6A1
LINC01094	2.729258545255755	1.0792556413834665e-109	LINC01094
SLC23A4P	4.145174195171053	1.1572929709976445e-109	SLC23A4P
AL109615.1	6.630756984724415	1.231980624784841e-109	AL109615.1
PTPRE	1.6588301822070524	1.4205644044297718e-109	PTPRE
SHMT2	1.956464539953574	1.6541010786588934e-109	SHMT2
C13orf42	-5.376794946230826	2.1236060029722874e-109	C13orf42
SIGLEC10	3.065205882841375	2.802721190365466e-109	SIGLEC10
LPCAT1	2.544771179438004	3.1554056281078776e-109	LPCAT1
SLFN13	2.158957463834968	3.220090797682911e-109	SLFN13
AC007993.2	-6.073498198076554	3.5067551080251784e-109	AC007993.2
AL731533.3	4.732573435726247	6.735383824753305e-109	AL731533.3
IL20RB	6.581235054469754	1.640237475049482e-108	IL20RB
TRPM2	2.7566349139453883	3.4630133803890226e-108	TRPM2
PML	1.213012311118812	4.075252069018888e-108	PML
KCNK9	4.899386457833865	4.425333133223967e-108	KCNK9
HTRA4	4.84602773195624	6.221976180774471e-108	HTRA4
PLK2	2.213023826970657	7.692093302288939e-108	PLK2
SLC14A2	-6.541527807614099	7.781947795524989e-108	SLC14A2
PLA2R1	-2.972723405922717	8.017489873084328e-108	PLA2R1
DLX5	3.44107248575718	9.519622260321112e-108	DLX5
LINC01571	-6.881957470319602	1.0253018456707688e-107	LINC01571
AC022509.1	4.396124874884171	1.535069787877082e-107	AC022509.1
KLHL14	-3.827120896959592	3.652414837613635e-107	KLHL14
LUCAT1	5.008826373812126	3.8315796933127803e-107	LUCAT1
TAPBP	1.6057512443340023	3.8444119647821584e-107	TAPBP
AC116317.1	-3.72057715069916	1.0361483111712356e-106	AC116317.1
TYMS	1.9467849575453775	1.233314483370512e-106	TYMS
ADORA3	3.014920584805788	1.5319342050525573e-106	ADORA3
SCD	3.00087447666214	1.6398644272397352e-106	SCD
USP44	-3.0278692588291607	1.7085235409891203e-106	USP44
IGSF6	2.660528322727639	2.0463374727138319e-106	IGSF6
FAM171A1	-2.174702864995156	2.1305597915140287e-106	FAM171A1
EHD2	2.24475868258712	2.3123968619665684e-106	EHD2
ANGPT2	3.0878318974809726	2.512726427939388e-106	ANGPT2
STAC3	2.3196415901174574	3.4794414591887064e-106	STAC3
AL121987.1	-3.5858344885875537	4.376072712221666e-106	AL121987.1
PIK3R6	3.386892704150371	5.013726715096742e-106	PIK3R6
TMEM164	-1.5023040594438692	5.765977767643602e-106	TMEM164
AL023806.1	-2.435261128393308	5.904944619661651e-106	AL023806.1
RANBP3L	-5.182697235048384	1.3391288673435066e-105	RANBP3L
TCF21	-3.732691778905945	1.4378900093753224e-105	TCF21
LINC02611	2.8545323637280564	2.0307121559540617e-105	LINC02611
PIP4K2C	-1.415690813517403	2.2452577914963572e-105	PIP4K2C
ATP12A	-7.24082677977131	2.565875196075366e-105	ATP12A
DNAH11	4.573611891416131	2.809662778036844e-105	DNAH11
ARRB2	1.503796741134611	6.8389221723843315e-105	ARRB2
MIR4435-2HG	1.9117726825920516	1.0518200925571861e-104	MIR4435-2HG
AL109615.3	2.897947113235544	2.0373931119321013e-104	AL109615.3
UNCX	-7.334961762107709	2.623878834581065e-104	UNCX
P2RX7	2.5456783238603244	4.197916069641349e-104	P2RX7
MYO3A	3.2920173254792497	5.75340575941325e-104	MYO3A
TYROBP	2.657940315349054	9.215885287832984e-104	TYROBP
AC073218.1	5.424911829226071	1.0380847756289234e-103	AC073218.1
CARMIL1	-1.4903325710238404	1.503754772885323e-103	CARMIL1
NLRC5	2.2461671374820216	1.708173418180257e-103	NLRC5
PFKFB4	2.4182077215775	2.70629857427892e-103	PFKFB4
CES4A	4.165887786049332	2.8042878837052485e-103	CES4A
LGALS9	2.241482101829148	3.779611043280398e-103	LGALS9
AC073115.2	6.071542067895475	4.210673795401365e-103	AC073115.2
NHLRC4	-3.231212118065216	6.160531454382129e-103	NHLRC4
ARHGAP25	1.754750017347494	8.072959380419947e-103	ARHGAP25
LAIR1	2.636369182850121	1.222157884558295e-102	LAIR1
ACAA1	-1.6703828023042482	1.6673641568258146e-102	ACAA1
CSPG4	2.7170100719570174	2.5255610964857505e-102	CSPG4
PDK1	1.9144602462316385	2.627009259848281e-102	PDK1
AC007906.2	-3.822818751355004	3.2438945798440427e-102	AC007906.2
RELT	2.0816862806467205	7.492787989645395e-102	RELT
SLC37A2	2.730500335919245	7.564420418505744e-102	SLC37A2
CPNE6	-6.5867150342114105	1.4767004454218917e-101	CPNE6
SFXN2	-2.385338461503599	1.535679890630963e-101	SFXN2
POU5F1	3.3766057410386816	1.697557186449992e-101	POU5F1
AC079340.2	-4.677566361237213	2.504493614538767e-101	AC079340.2
CCNP	-4.787106355874043	3.789381750989916e-101	CCNP
LGI2	-3.283058702817051	3.8588809374453045e-101	LGI2
ADAMTS7	2.441565029908204	3.8588809374453045e-101	ADAMTS7
LINC00551	-2.704652088501565	4.440172177096624e-101	LINC00551
PSORS1C1	3.017838871403576	5.09030085892444e-101	PSORS1C1
PHKA2	2.0549590827877915	5.313047059423394e-101	PHKA2
VSIG1	3.959991896732044	5.4170674032947756e-101	VSIG1
DCAF11	-1.170444653391393	5.737865245463249e-101	DCAF11
SDHAP3	2.9890851052574283	5.99591443892288e-101	SDHAP3
RNF212B	-4.07002830681524	6.241864727464846e-101	RNF212B
TNFRSF14	2.178231420548684	6.99401279362427e-101	TNFRSF14
PLPPR5	6.366399558656225	7.05364466140041e-101	PLPPR5
PSMB9	2.2134308341337343	1.3756482002672384e-100	PSMB9
AL606760.1	-1.828788835899592	1.608095112010021e-100	AL606760.1
NOS1	-4.451217151468063	1.866970051845259e-100	NOS1
TMEM45B	-3.943107813115872	2.4362241732600595e-100	TMEM45B
PALD1	1.9493290233292464	2.573041696167926e-100	PALD1
AC087468.2	4.832185983240279	3.218348300121673e-100	AC087468.2
RNASET2	3.520261227816189	4.292137986354547e-100	RNASET2
SFRP1	-5.279288709109978	4.4378187261913447e-100	SFRP1
ADAP2	1.8313438212237445	5.506345065240277e-100	ADAP2
CNP	-1.3183905708208952	5.958909088715647e-100	CNP
TNFSF9	3.4691587401117445	8.95939650154364e-100	TNFSF9
CYFIP2	-2.2822408903724614	9.008576756678906e-100	CYFIP2
LILRB4	3.1206480201068127	1.2809042183508725e-99	LILRB4
SNHG12	3.0639549008997893	1.5688602464857434e-99	SNHG12
RASD2	2.8862002660628034	1.975781172133933e-99	RASD2
AC107918.4	3.947645708908201	2.543184062034369e-99	AC107918.4
AC079466.1	9.62945419866664	3.865860755351106e-99	AC079466.1
TMCC1	1.7805480018077606	4.529636564345825e-99	TMCC1
LINC02437	-8.136867101059732	5.999229340501669e-99	LINC02437
RNF149	1.3209794702735518	6.662354178889235e-99	RNF149
HADH	-1.7376101746248604	6.823037882953644e-99	HADH
HS3ST2	4.8968703560292735	7.299358995104285e-99	HS3ST2
PRKAR2B	-2.245562969851149	9.235471720934804e-99	PRKAR2B
WNK1	-1.5361488226019862	1.0986319735908894e-98	WNK1
AC112243.1	-9.16073398716942	1.1244436332415088e-98	AC112243.1
CADPS2	-1.6139805057057066	1.1508638311596244e-98	CADPS2
VWF	3.001576196143231	1.2019943798631724e-98	VWF
PCED1B-AS1	2.7992010955439643	1.2949358744644694e-98	PCED1B-AS1
HSPA7	3.956188146562562	1.4194366737949536e-98	HSPA7
EGFR-AS1	5.903443364061532	2.1713076016391817e-98	EGFR-AS1
LINC02172	-4.768114338758092	5.080682062408524e-98	LINC02172
DPEP2	2.2943594284987863	1.0533919656251396e-97	DPEP2
FAM111B	2.511861874159921	1.26801172314368e-97	FAM111B
LINC01943	3.2948736976960107	1.4164131437942637e-97	LINC01943
WNT9B	-3.7907135662736215	1.4350948959772893e-97	WNT9B
FCER1G	2.533786695823484	2.2646197749484927e-97	FCER1G
NT5C1A	-4.217964690769199	2.424053372706013e-97	NT5C1A
SIAH3	-5.2176120515478654	2.5893364996020976e-97	SIAH3
CLIC5	-3.821514017819037	2.5893364996020976e-97	CLIC5
AC108463.1	2.408944161101534	3.3887660555850656e-97	AC108463.1
NLRP3P1	6.895801519892766	3.494958912068937e-97	NLRP3P1
PRELID2	2.045220648694785	3.5676838448389625e-97	PRELID2
SRGAP3	-2.466332540656677	3.7859745525743684e-97	SRGAP3
AL158847.1	-3.5803282755650527	4.2889016927722784e-97	AL158847.1
LTB4R	2.5848829693073125	7.664527315999945e-97	LTB4R
NKG7	3.485765872885295	8.085317586406143e-97	NKG7
FAM153CP	5.002240183778708	8.170047739551578e-97	FAM153CP
EPB41L5	-1.7927157045424271	8.301222291461554e-97	EPB41L5
CDK18	2.361506488724008	1.1833684856336553e-96	CDK18
MIR34AHG	3.035393293179035	1.3684680916648789e-96	MIR34AHG
CACNA2D2	-2.2087283868987084	1.6901224316956902e-96	CACNA2D2
AK3	-1.4740532255786094	3.250299071283525e-96	AK3
KCNJ1	-6.358734175120937	5.969826799470203e-96	KCNJ1
TNFRSF10B	1.488896867199369	5.977970542921585e-96	TNFRSF10B
AC008760.2	5.081397865649202	7.77656091082973e-96	AC008760.2
CLDN19	-5.764123639215736	9.820385818779401e-96	CLDN19
USP46-DT	-1.489039801518615	1.794852207005379e-95	USP46-DT
LILRB2	2.283243394638385	2.0199975216392845e-95	LILRB2
LAT2	2.1465908073845714	2.0317976525118762e-95	LAT2
AC105020.1	3.552871199884477	2.2421902110921968e-95	AC105020.1
AC005165.1	-4.0232424597363865	2.5153133875443448e-95	AC005165.1
FMNL1	2.255897583717384	2.62593945975585e-95	FMNL1
RGS19	1.7215984904491592	2.62593945975585e-95	RGS19
USP46	-1.3302691776388442	2.7102288650096333e-95	USP46
